timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-23T21:26:30.819044+00:00,412,
2026-07-23T21:26:32.376269+00:00,551,
2026-07-23T21:26:33.912483+00:00,169,
2026-07-23T21:26:35.454239+00:00,152,
2026-07-23T21:26:36.988259+00:00,52,
2026-07-23T21:26:38.523250+00:00,222,
2026-07-23T21:26:40.058072+00:00,168,
2026-07-23T21:26:41.596856+00:00,194,
2026-07-23T21:26:43.136447+00:00,42,
2026-07-23T21:26:44.663751+00:00,64,
2026-07-23T21:26:46.221873+00:00,461,
2026-07-23T21:26:47.757146+00:00,167,
2026-07-23T21:26:49.339207+00:00,77,
2026-07-23T21:26:50.868804+00:00,105,
2026-07-23T21:26:52.408783+00:00,301,
2026-07-23T21:26:53.961786+00:00,285,
2026-07-23T21:26:55.525769+00:00,1044,
2026-07-23T21:26:57.085328+00:00,911,
2026-07-23T21:26:58.613735+00:00,324,
2026-07-23T21:27:00.136487+00:00,240,
2026-07-23T21:27:01.672857+00:00,395,
2026-07-23T21:27:03.215503+00:00,375,
2026-07-23T21:27:04.751137+00:00,454,
2026-07-23T21:27:06.272633+00:00,0,
2026-07-23T21:27:07.807532+00:00,76,
2026-07-23T21:27:09.336667+00:00,175,
2026-07-23T21:27:10.876200+00:00,153,
2026-07-23T21:27:12.401896+00:00,209,
2026-07-23T21:27:13.926047+00:00,377,
2026-07-23T21:27:15.458625+00:00,89,
2026-07-23T21:27:17.005363+00:00,111,
2026-07-23T21:27:18.539201+00:00,197,
2026-07-23T21:27:20.076275+00:00,174,
2026-07-23T21:27:21.617241+00:00,424,
2026-07-23T21:27:23.159869+00:00,112,
2026-07-23T21:27:24.702596+00:00,78,
2026-07-23T21:27:26.233615+00:00,85,
2026-07-23T21:27:27.776215+00:00,15,
2026-07-23T21:27:29.311405+00:00,150,
2026-07-23T21:27:30.847124+00:00,178,
2026-07-23T21:27:32.383572+00:00,665,
2026-07-23T21:27:33.917367+00:00,477,
2026-07-23T21:27:35.472624+00:00,264,
2026-07-23T21:27:37.005123+00:00,93,
2026-07-23T21:27:38.531185+00:00,9,
2026-07-23T21:27:40.097678+00:00,113,
2026-07-23T21:27:41.636679+00:00,32,
2026-07-23T21:27:43.178966+00:00,15,
2026-07-23T21:27:44.711154+00:00,19,
2026-07-23T21:27:46.244576+00:00,19,
2026-07-23T21:27:47.770836+00:00,174,
2026-07-23T21:27:49.295858+00:00,281,
2026-07-23T21:27:50.836524+00:00,104,
2026-07-23T21:27:52.382832+00:00,239,
2026-07-23T21:27:53.939054+00:00,158,
2026-07-23T21:27:55.496234+00:00,466,
2026-07-23T21:27:57.025481+00:00,96,
2026-07-23T21:27:58.579638+00:00,422,
2026-07-23T21:28:00.124221+00:00,112,
2026-07-23T21:28:01.663605+00:00,533,
2026-07-23T21:28:03.193939+00:00,0,
2026-07-23T21:28:04.723516+00:00,86,
2026-07-23T21:28:06.255838+00:00,47,
2026-07-23T21:28:07.786887+00:00,99,
2026-07-23T21:28:09.315178+00:00,199,
2026-07-23T21:28:10.843722+00:00,646,
2026-07-23T21:28:12.379423+00:00,450,
2026-07-23T21:28:13.906947+00:00,51,
2026-07-23T21:28:15.433189+00:00,285,
2026-07-23T21:28:16.975465+00:00,0,
2026-07-23T21:28:18.530820+00:00,366,
2026-07-23T21:28:20.079771+00:00,315,
2026-07-23T21:28:21.619512+00:00,439,
2026-07-23T21:28:23.159230+00:00,0,
2026-07-23T21:28:24.695058+00:00,0,
2026-07-23T21:28:26.225549+00:00,0,
2026-07-23T21:28:27.762452+00:00,0,
2026-07-23T21:28:29.298225+00:00,0,
2026-07-23T21:28:30.832015+00:00,0,
2026-07-23T21:28:32.363822+00:00,0,
2026-07-23T21:28:33.887605+00:00,0,
2026-07-23T21:28:35.417771+00:00,0,
2026-07-23T21:28:36.955329+00:00,264,
2026-07-23T21:28:38.511223+00:00,440,
2026-07-23T21:28:40.035840+00:00,113,
2026-07-23T21:28:41.564528+00:00,82,
2026-07-23T21:28:43.097275+00:00,106,
2026-07-23T21:28:44.621700+00:00,6,
2026-07-23T21:28:46.147872+00:00,105,
2026-07-23T21:28:47.673686+00:00,66,
2026-07-23T21:28:49.209685+00:00,16,
2026-07-23T21:28:50.842118+00:00,202,
2026-07-23T21:28:52.382881+00:00,297,
2026-07-23T21:28:53.929056+00:00,740,
2026-07-23T21:28:55.481540+00:00,676,
2026-07-23T21:28:57.018916+00:00,124,
2026-07-23T21:28:58.556688+00:00,34,
2026-07-23T21:29:00.096480+00:00,109,
2026-07-23T21:29:01.629901+00:00,375,
2026-07-23T21:29:03.172900+00:00,544,
2026-07-23T21:29:04.694523+00:00,0,
2026-07-23T21:29:06.226831+00:00,0,
2026-07-23T21:29:07.754357+00:00,0,
2026-07-23T21:29:09.279564+00:00,0,
2026-07-23T21:29:10.862659+00:00,418,
2026-07-23T21:29:12.398758+00:00,407,
2026-07-23T21:29:13.945113+00:00,650,
2026-07-23T21:29:15.485210+00:00,363,
2026-07-23T21:29:17.042579+00:00,576,
2026-07-23T21:29:18.590201+00:00,562,
2026-07-23T21:29:20.132144+00:00,563,
2026-07-23T21:29:21.686594+00:00,449,
2026-07-23T21:29:23.227567+00:00,693,
2026-07-23T21:29:24.765981+00:00,0,
2026-07-23T21:29:26.294764+00:00,0,
2026-07-23T21:29:27.820848+00:00,0,
2026-07-23T21:29:29.347598+00:00,0,
2026-07-23T21:29:30.876311+00:00,0,
2026-07-23T21:29:32.408835+00:00,0,
2026-07-23T21:29:33.955078+00:00,218,
2026-07-23T21:29:35.482364+00:00,810,
2026-07-23T21:29:37.018276+00:00,700,
2026-07-23T21:29:38.552564+00:00,596,
2026-07-23T21:29:40.083527+00:00,373,
2026-07-23T21:29:41.627564+00:00,929,
2026-07-23T21:29:43.176042+00:00,519,
2026-07-23T21:29:44.704987+00:00,682,
2026-07-23T21:29:46.237716+00:00,0,
2026-07-23T21:29:47.769562+00:00,483,
2026-07-23T21:29:49.300647+00:00,0,
2026-07-23T21:29:50.831292+00:00,0,
2026-07-23T21:29:52.389451+00:00,29,
2026-07-23T21:29:53.914591+00:00,456,
2026-07-23T21:29:55.458513+00:00,365,
2026-07-23T21:29:56.998873+00:00,481,
2026-07-23T21:29:58.575909+00:00,359,
