detector,threshold,fire_count,fire_rate_per_1k_trades
large_trade,100000,0,0.0
large_trade,250000,0,0.0
large_trade,500000,0,0.0
large_trade,750000,0,0.0
large_trade,1000000,0,0.0
large_trade,2000000,0,0.0
large_trade,5000000,0,0.0
price_spike,0.005,74022,204.4078
price_spike,0.01,71084,196.2947
price_spike,0.015,23029,63.5934
price_spike,0.02,23029,63.5934
price_spike,0.03,7013,19.366
price_spike,0.05,1404,3.8771
price_spike,0.1,1036,2.8609
dominant_side,3,112038,309.387
dominant_side,4,82037,226.5408
dominant_side,5,64213,177.3208
dominant_side,6,52590,145.2245
dominant_side,7,44381,122.5558
dominant_side,8,38249,105.6226
dominant_side,10,29760,82.1807
